"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Healthy Food Index"
"Rockcliffe-Smythe",111.0,"N/A",22246.0,31.87
"Beechborough-Greenbrook",112.0,"N/A",6577.0,25.57
"Weston",113.0,"N/A",17992.0,41.45
"Lambton Baby Point",114.0,"N/A",7985.0,27.28
"Mount Dennis",115.0,"N/A",13593.0,29.91
"Steeles",116.0,"N/A",24623.0,11.36
"L'Amoreaux",117.0,"N/A",43993.0,30.73
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,41.37
"Wexford/Maryvale",119.0,"N/A",27917.0,42.08
"Clairlea-Birchmount",120.0,"N/A",26984.0,30.8
"Oakridge",121.0,"N/A",13845.0,35.43
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,32.74
"Cliffcrest",123.0,"N/A",15935.0,25.55
"Kennedy Park",124.0,"N/A",17123.0,34.96
"Ionview",125.0,"N/A",13641.0,47.14
"Dorset Park",126.0,"N/A",25003.0,32.27
"Bendale",127.0,"N/A",29960.0,29.12
"Agincourt South-Malvern West",128.0,"N/A",23757.0,35.26
"Agincourt North",129.0,"N/A",29113.0,38.09
"Milliken",130.0,"N/A",26572.0,25.25
"Rouge",131.0,"N/A",46496.0,21.95
"Malvern",132.0,"N/A",43794.0,38.63
"Centennial Scarborough",133.0,"N/A",13362.0,9.35
"Highland Creek",134.0,"N/A",12494.0,0.63
"Morningside",135.0,"N/A",17455.0,6.67
"West Hill",136.0,"N/A",27392.0,28.06
"Woburn",137.0,"N/A",53485.0,27.73
"Eglinton East",138.0,"N/A",22776.0,34.79
"Scarborough Village",139.0,"N/A",16724.0,35.48
"Guildwood",140.0,"N/A",9917.0,15.57
