Neighbourhood,Neighbourhood Id,Total Population,Healthy Food Index,Lat,Long
Lumsden,60.0,7865.0,27.87,43.693109899999996,-79.31453420000001
Taylor,61.0,15683.0,38.19,43.7128862,-79.2799761
Massey,61.0,15683.0,38.19,43.653966600000004,-79.3789814551491
East End,62.0,21381.0,35.29,43.6684402,-79.33067
Danforth,62.0,21381.0,35.29,43.6863598,-79.30031579999999
The Beaches,63.0,21567.0,31.53,43.6710244,-79.296712
Woodbine Corridor,64.0,12541.0,29.04,1.0,0.0
Greenwood,65.0,14417.0,44.29,43.682605200000005,-79.33030040000001
Coxwell,65.0,14417.0,44.29,43.6841946,-79.3230472
Danforth,66.0,9666.0,32.16,43.6863598,-79.30031579999999
Playter Estates,67.0,7804.0,42.51,1.0,0.0
Danforth,67.0,7804.0,42.51,43.6863598,-79.30031579999999
North Riverdale,68.0,11916.0,47.17,43.6654704,-79.35259359999999
Blake,69.0,7727.0,39.98,43.781933,-79.4230863
Jones,69.0,7727.0,39.98,43.675693,-79.3389803534221
South Riverdale,70.0,27876.0,45.86,43.6654704,-79.35259359999999
Cabbagetown,71.0,11669.0,43.71,43.6644734,-79.36698609999999
South St.James Town,71.0,11669.0,43.71,43.6694032,-79.37270409999999
Regent Park,72.0,10803.0,42.52,43.66070560000001,-79.3604569
Moss Park,73.0,20506.0,42.76,43.654643799999995,-79.36972779999999
North St.James Town,74.0,18615.0,34.03,43.6694032,-79.37270409999999
Church,75.0,31340.0,33.5,43.6436246,-79.4222581
Yonge Corridor,75.0,31340.0,33.5,43.68126565,-79.3907753023898
Bay Street Corridor,76.0,25797.0,24.83,43.6652749,-79.3875281
Waterfront Communities,77.0,65913.0,31.61,1.0,0.0
The Island,77.0,65913.0,31.61,43.653963,-79.38720699999999
Kensington,78.0,17945.0,37.57,43.6552136,-79.4022604
Chinatown,78.0,17945.0,37.57,43.6529237,-79.3980316
University,79.0,7607.0,42.62,43.663509399999995,-79.3977783616393
Palmerston,80.0,13826.0,45.81,43.647443700000004,-79.4068087
Little Italy,80.0,13826.0,45.81,43.65520789999999,-79.41487690000001
Trinity,81.0,16556.0,35.45,43.65467605,-79.3817313765644
Bellwoods,81.0,16556.0,35.45,43.64756465,-79.4138809026667
Niagara,82.0,31180.0,34.94,43.6423268,-79.40691650000001
Dufferin Grove,83.0,11785.0,40.07,43.65363189999999,-79.42643890000001
Little Portugal,84.0,15559.0,37.58,43.64741325,-79.43111632546051
South Parkdale,85.0,21849.0,26.84,43.6371777,-79.43600450000001
