Venue Category,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude
Kids Store,2,2,2,2,2,2
Kitchen Supply Store,1,1,1,1,1,1
Korean Restaurant,36,36,36,36,36,36
Latin American Restaurant,3,3,3,3,3,3
Laundromat,2,2,2,2,2,2
Laundry Service,1,1,1,1,1,1
Lawyer,2,2,2,2,2,2
Library,1,1,1,1,1,1
Light Rail Station,5,5,5,5,5,5
Lingerie Store,3,3,3,3,3,3
Liquor Store,14,14,14,14,14,14
Locksmith,1,1,1,1,1,1
Lounge,11,11,11,11,11,11
Mac & Cheese Joint,1,1,1,1,1,1
Malay Restaurant,1,1,1,1,1,1
Market,4,4,4,4,4,4
Martial Arts Dojo,3,3,3,3,3,3
Massage Studio,4,4,4,4,4,4
Medical Center,2,2,2,2,2,2
Mediterranean Restaurant,15,15,15,15,15,15
Men's Store,11,11,11,11,11,11
Metro Station,11,11,11,11,11,11
Mexican Restaurant,28,28,28,28,28,28
Middle Eastern Restaurant,24,24,24,24,24,24
Miscellaneous Shop,7,7,7,7,7,7
Mobile Phone Shop,3,3,3,3,3,3
Modern European Restaurant,6,6,6,6,6,6
Monument / Landmark,4,4,4,4,4,4
Movie Theater,14,14,14,14,14,14
Museum,2,2,2,2,2,2
Music Venue,6,6,6,6,6,6
Nail Salon,4,4,4,4,4,4
Neighborhood,8,8,8,8,8,8
New American Restaurant,4,4,4,4,4,4
Nightclub,7,7,7,7,7,7
Noodle House,9,9,9,9,9,9
North Indian Restaurant,1,1,1,1,1,1
Office,7,7,7,7,7,7
Opera House,5,5,5,5,5,5
Optical Shop,8,8,8,8,8,8
Organic Grocery,1,1,1,1,1,1
Other Great Outdoors,3,3,3,3,3,3
Outdoor Supply Store,2,2,2,2,2,2
Outdoors & Recreation,1,1,1,1,1,1
Paintball Field,1,1,1,1,1,1
Pakistani Restaurant,2,2,2,2,2,2
Paper / Office Supplies Store,2,2,2,2,2,2
Park,62,62,62,62,62,62
Pastry Shop,2,2,2,2,2,2
Performing Arts Venue,2,2,2,2,2,2
Persian Restaurant,2,2,2,2,2,2
Pet Store,15,15,15,15,15,15
Pharmacy,63,63,63,63,63,63
Photography Lab,1,1,1,1,1,1
Piano Bar,1,1,1,1,1,1
Pizza Place,106,106,106,106,106,106
Platform,1,1,1,1,1,1
Playground,20,20,20,20,20,20
Plaza,7,7,7,7,7,7
Poke Place,4,4,4,4,4,4
Polish Restaurant,1,1,1,1,1,1
Pool,5,5,5,5,5,5
Pool Hall,1,1,1,1,1,1
Portuguese Restaurant,6,6,6,6,6,6
Poutine Place,5,5,5,5,5,5
Pub,38,38,38,38,38,38
Ramen Restaurant,16,16,16,16,16,16
Record Shop,5,5,5,5,5,5
Recreation Center,1,1,1,1,1,1
Rental Car Location,5,5,5,5,5,5
Restaurant,55,55,55,55,55,55
Rock Club,1,1,1,1,1,1
Salad Place,1,1,1,1,1,1
Salon / Barbershop,13,13,13,13,13,13
Sandwich Place,71,71,71,71,71,71
Scenic Lookout,2,2,2,2,2,2
School,1,1,1,1,1,1
Science Museum,2,2,2,2,2,2
Seafood Restaurant,21,21,21,21,21,21
Shoe Store,6,6,6,6,6,6
Shop & Service,1,1,1,1,1,1
Shopping Mall,15,15,15,15,15,15
Skating Rink,15,15,15,15,15,15
Ski Area,1,1,1,1,1,1
Smoke Shop,8,8,8,8,8,8
Smoothie Shop,4,4,4,4,4,4
Snack Place,3,3,3,3,3,3
Soccer Field,3,3,3,3,3,3
Soccer Stadium,1,1,1,1,1,1
Soup Place,2,2,2,2,2,2
South American Restaurant,1,1,1,1,1,1
Southern / Soul Food Restaurant,2,2,2,2,2,2
Souvlaki Shop,1,1,1,1,1,1
Spa,14,14,14,14,14,14
Speakeasy,5,5,5,5,5,5
Sporting Goods Shop,7,7,7,7,7,7
Sports Bar,7,7,7,7,7,7
Steakhouse,11,11,11,11,11,11
Storage Facility,2,2,2,2,2,2
Supermarket,17,17,17,17,17,17
Sushi Restaurant,68,68,68,68,68,68
Taco Place,8,8,8,8,8,8
Taiwanese Restaurant,2,2,2,2,2,2
Tanning Salon,1,1,1,1,1,1
Tapas Restaurant,7,7,7,7,7,7
Tea Room,19,19,19,19,19,19
Tennis Court,7,7,7,7,7,7
Thai Restaurant,47,47,47,47,47,47
Theater,16,16,16,16,16,16
Thrift / Vintage Store,9,9,9,9,9,9
Tibetan Restaurant,3,3,3,3,3,3
Toy / Game Store,15,15,15,15,15,15
Trail,5,5,5,5,5,5
Train Station,12,12,12,12,12,12
Tree,1,1,1,1,1,1
Turkish Restaurant,1,1,1,1,1,1
Udon Restaurant,2,2,2,2,2,2
University,3,3,3,3,3,3
Vegetarian / Vegan Restaurant,22,22,22,22,22,22
Video Game Store,4,4,4,4,4,4
Video Store,4,4,4,4,4,4
Vietnamese Restaurant,39,39,39,39,39,39
Warehouse Store,1,1,1,1,1,1
Whisky Bar,1,1,1,1,1,1
Wine Bar,2,2,2,2,2,2
Wine Shop,1,1,1,1,1,1
Wings Joint,9,9,9,9,9,9
Women's Store,9,9,9,9,9,9
Yoga Studio,17,17,17,17,17,17
Zoo,1,1,1,1,1,1
